ticker,security_name,listing_exchange,market_category,is_etf,is_test_issue,financial_status,cqs_symbol,nasdaq_symbol,is_nextshares
A,"Agilent Technologies, Inc. Common Stock",N, ,N,N,,A,A,N
AA,Alcoa Corporation Common Stock ,N, ,N,N,,AA,AA,N
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Q,G,N,N,D,,AACB,N
AACBR,Artius II Acquisition Inc. - Rights,Q,G,N,N,N,,AACBR,N
AACBU,Artius II Acquisition Inc. - Units,Q,G,N,N,N,,AACBU,N
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,S,N,N,N,,AACG,N
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Q,G,N,N,N,,AACI,N
AACIU,Armada Acquisition Corp. III - Units,Q,G,N,N,N,,AACIU,N
AACIW,Armada Acquisition Corp. III - Warrant,Q,G,N,N,N,,AACIW,N
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Q,G,N,N,N,,AACO,N
AACOU,Abony Acquisition Corp. I - Units,Q,G,N,N,N,,AACOU,N
AACOW,Abony Acquisition Corp. I - Warrants,Q,G,N,N,N,,AACOW,N
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Q,G,N,N,N,,AACP,N
AACPR,Apogee Acquisition Corp - Rights,Q,G,N,N,N,,AACPR,N
AACPU,Apogee Acquisition Corp - Units,Q,G,N,N,N,,AACPU,N
AACPW,Apogee Acquisition Corp - Warrant,Q,G,N,N,N,,AACPW,N
AADX,"Applied Aerospace & Defense, Inc. Common Stock",N, ,N,N,,AADX,AADX,N
AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,N,N,,AAL,N
AAME,Atlantic American Corporation - Common Stock,Q,G,N,N,E,,AAME,N
AAMI,Acadian Asset Management Inc. Common Stock,N, ,N,N,,AAMI,AAMI,N
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,N,N,,AAOI,N
AAON,"AAON, Inc. - Common Stock",Q,Q,N,N,N,,AAON,N
AAP,Advance Auto Parts Inc.,N, ,N,N,,AAP,AAP,N
AAPG,Ascentage Pharma Group International - American Depository Shares,Q,G,N,N,N,,AAPG,N
AAPL,Apple Inc. - Common Stock,Q,Q,N,N,N,,AAPL,N
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,Q,N,N,N,,AARD,N
AAT,"American Assets Trust, Inc. Common Stock",N, ,N,N,,AAT,AAT,N
AAUC,Allied Gold Corporation Common Shares,N, ,N,N,,AAUC,AAUC,N
AB,AllianceBernstein Holding L.P.  Units,N, ,N,N,,AB,AB,N
ABAT,American Battery Technology Company - Common Stock,Q,S,N,N,N,,ABAT,N
ABBV,AbbVie Inc. Common Stock,N, ,N,N,,ABBV,ABBV,N
ABCB,Ameris Bancorp Common Stock,N, ,N,N,,ABCB,ABCB,N
ABCL,AbCellera Biologics Inc. - Common Shares,Q,Q,N,N,N,,ABCL,N
ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,N,N,,ABEO,N
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,N,,ABEV,ABEV,N
ABG,Asbury Automotive Group Inc Common Stock,N, ,N,N,,ABG,ABG,N
ABLV,Able View Global Inc. - Class B Ordinary Shares,Q,S,N,N,D,,ABLV,N
ABLVW,Able View Global Inc. - Warrant,Q,S,N,N,N,,ABLVW,N
ABM,ABM Industries Incorporated Common Stock,N, ,N,N,,ABM,ABM,N
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,Q,N,N,N,,ABNB,N
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,Q,N,N,N,,ABOS,N
ABR,Arbor Realty Trust Common Stock,N, ,N,N,,ABR,ABR,N
ABSI,Absci Corporation - Common Stock,Q,Q,N,N,N,,ABSI,N
ABT,Abbott Laboratories Common Stock,N, ,N,N,,ABT,ABT,N
ABTC,American Bitcoin Corp. - Class A Common Stock,Q,S,N,N,N,,ABTC,N
ABTS,Abits Group Inc - Ordinary Shares,Q,S,N,N,N,,ABTS,N
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,N,N,,ABUS,N
ABVC,"ABVC BioPharma, Inc. - Common Stock",Q,S,N,N,N,,ABVC,N
ABVX,Abivax SA - American Depositary Shares,Q,G,N,N,N,,ABVX,N
ABX,"Abacus Global Management, Inc. Class A Common Stock",N, ,N,N,,ABX,ABX,N
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N, ,N,N,,ABXL,ABXL,N
ACA,"Arcosa, Inc. Common Stock ",N, ,N,N,,ACA,ACA,N
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,Q,G,N,N,N,,ACAA,N
ACAAU,Averin Capital Acquisition Corp. - Units,Q,G,N,N,N,,ACAAU,N
ACAAW,Averin Capital Acquisition Corp. - Warrants,Q,G,N,N,N,,ACAAW,N
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,N,N,,ACAD,N
ACB,Aurora Cannabis Inc. - Common Shares,Q,S,N,N,N,,ACB,N
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,Q,S,N,N,N,,ACCL,N
ACCO,Acco Brands Corporation Common Stock,N, ,N,N,,ACCO,ACCO,N
ACCS,ACCESS Newswire Inc. Common Stock,A, ,N,N,,ACCS,ACCS,N
ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,Q,N,N,N,,ACDC,N
ACEL,"Accel Entertainment, Inc. ",N, ,N,N,,ACEL,ACEL,N
ACET,"Adicet Bio, Inc. - Common Stock",Q,S,N,N,N,,ACET,N
ACFN,"Acorn Energy, Inc. - Common Stock",Q,S,N,N,N,,ACFN,N
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,Q,G,N,N,N,,ACGC,N
ACGCU,ACP Holdings Acquisition Corp. - Units,Q,G,N,N,N,,ACGCU,N
ACGCW,ACP Holdings Acquisition Corp. - Warrants,Q,G,N,N,N,,ACGCW,N
ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,N,N,,ACGL,N
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,Q,N,N,N,,ACGLN,N
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,N,N,,ACGLO,N
ACH,"Accendra Health, Inc. Common Stock",N, ,N,N,,ACH,ACH,N
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,N,N,,ACHC,N
ACHR,Archer Aviation Inc. Class A Common Stock,N, ,N,N,,ACHR,ACHR,N
ACHR-W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N, ,N,N,,ACHR.WS,ACHR+,N
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N,N,N,,ACHV,N
ACI,"Albertsons Companies, Inc. Class A Common Stock",N, ,N,N,,ACI,ACI,N
ACIC,American Coastal Insurance Corporation - Common Stock,Q,S,N,N,N,,ACIC,N
ACIU,AC Immune SA - Common Stock,Q,G,N,N,N,,ACIU,N
ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,N,N,,ACIW,N
ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,N,N,,ACLS,N
ACM,AECOM Common Stock,N, ,N,N,,ACM,ACM,N
ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,N,N,,ACMR,N
ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,N,,ACN,ACN,N
ACNB,ACNB Corporation - Common Stock,Q,S,N,N,N,,ACNB,N
ACNT,Ascent Industries Co. - Common Stock,Q,G,N,N,N,,ACNT,N
ACOG,Alpha Cognition Inc. - Common Stock,Q,S,N,N,N,,ACOG,N
ACON,"Aclarion, Inc. - Common Stock",Q,S,N,N,N,,ACON,N
ACONW,"Aclarion, Inc. - Warrant",Q,S,N,N,N,,ACONW,N
ACP,abrdn Income Credit Strategies Fund Common Shares,N, ,N,N,,ACP,ACP,N
ACR,ACRES Commercial Realty Corp. Common Stock,N, ,N,N,,ACR,ACR,N
ACRE,Ares Commercial Real Estate Corporation Common Stock,N, ,N,N,,ACRE,ACRE,N
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Q,N,N,N,,ACRS,N
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Q,G,N,N,N,,ACRV,N
ACT,"Enact Holdings, Inc. - Common Stock",Q,Q,N,N,N,,ACT,N
ACTG,Acacia Research Corporation - Common Stock,Q,Q,N,N,N,,ACTG,N
ACTU,"Actuate Therapeutics, Inc. - Common stock",Q,G,N,N,N,,ACTU,N
ACU,Acme United Corporation. Common Stock,A, ,N,N,,ACU,ACU,N
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N, ,N,N,,ACV,ACV,N
ACVA,ACV Auctions Inc. Class A Common Stock,N, ,N,N,,ACVA,ACVA,N
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Q,S,N,N,N,,ACXP,N
AD,"Array Digital Infrastructure, Inc. Common Shares",N, ,N,N,,AD,AD,N
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,Q,G,N,N,N,,ADAC,N
ADACU,American Drive Acquisition Company - Units,Q,G,N,N,N,,ADACU,N
ADACW,American Drive Acquisition Company - Warrant,Q,G,N,N,N,,ADACW,N
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Q,G,N,N,N,,ADAG,N
ADAM,"Adamas Trust, Inc. - Common Stock",Q,Q,N,N,N,,ADAM,N
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",Q,Q,N,N,N,,ADAMG,N
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",Q,G,N,N,N,,ADAMH,N
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",Q,Q,N,N,N,,ADAMI,N
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,Q,N,N,N,,ADAML,N
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,ADAMM,N
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,ADAMN,N
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",Q,Q,N,N,N,,ADAMO,N
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,Q,N,N,N,,ADAMZ,N
ADBE,Adobe Inc. - Common Stock,Q,Q,N,N,N,,ADBE,N
ADC,Agree Realty Corporation Common Stock,N, ,N,N,,ADC,ADC,N
ADCT,ADC Therapeutics SA Common Shares,N, ,N,N,,ADCT,ADCT,N
ADEA,Adeia Inc.  - Common Stock,Q,Q,N,N,N,,ADEA,N
ADGM,"Adagio Medical Holdings, Inc - Common Stock",Q,S,N,N,N,,ADGM,N
ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,N,N,,ADI,N
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Q,S,N,N,N,,ADIL,N
ADM,Archer-Daniels-Midland Company Common Stock,N, ,N,N,,ADM,ADM,N
ADMA,ADMA Biologics Inc - Common Stock,Q,G,N,N,N,,ADMA,N
ADNT,Adient plc Ordinary Shares ,N, ,N,N,,ADNT,ADNT,N
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,N,N,,ADP,N
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,Q,N,N,N,,ADPT,N
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Q,S,N,N,N,,ADSE,N
ADSEW,ADS-TEC ENERGY PLC - Warrant,Q,S,N,N,N,,ADSEW,N
ADSK,"Autodesk, Inc. - Common Stock",Q,Q,N,N,N,,ADSK,N
ADT,ADT Inc. Common Stock,N, ,N,N,,ADT,ADT,N
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,Q,N,N,N,,ADTN,N
ADTX,"Aditxt, Inc. - Common Stock",Q,S,N,N,D,,ADTX,N
ADUR,Aduro Clean Technologies Inc. - Common Stock,Q,S,N,N,N,,ADUR,N
ADUS,Addus HomeCare Corporation - Common Stock,Q,Q,N,N,N,,ADUS,N
ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,Q,N,N,N,,ADV,N
ADVB,Advanced Biomed Inc. - Common Stock,Q,S,N,N,N,,ADVB,N
ADX,Adams Diversified Equity Fund Inc.,N, ,N,N,,ADX,ADX,N
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Q,S,N,N,N,,ADXN,N
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,Q,G,N,N,N,,AEAQ,N
AEAQU,Activate Energy Acquisition Corp. - Unit,Q,G,N,N,N,,AEAQU,N
AEAQW,Activate Energy Acquisition Corp. - Warrant,Q,G,N,N,N,,AEAQW,N
AEBI,Aebi Schmidt Holding AG - Common Stock,Q,Q,N,N,N,,AEBI,N
AEC,Anfield Energy Inc. - Common Shares,Q,S,N,N,N,,AEC,N
AEE,Ameren Corporation Common Stock,N, ,N,N,,AEE,AEE,N
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A, ,N,N,,AEF,AEF,N
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N, ,N,N,,AEFC,AEFC,N
AEG,Aegon Ltd. New York Registry Shares,N, ,N,N,,AEG,AEG,N
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Q,S,N,N,N,,AEHL,N
AEHR,Aehr Test Systems - Common Stock,Q,S,N,N,N,,AEHR,N
AEI,Alset Inc. - Common Stock,Q,S,N,N,N,,AEI,N
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,Q,N,N,N,,AEIS,N
AEM,Agnico Eagle Mines Limited Common Stock,N, ,N,N,,AEM,AEM,N
AEMD,"Aethlon Medical, Inc. - Common Stock",Q,S,N,N,N,,AEMD,N
AENT,Alliance Entertainment Holding Corporation - common stock,Q,S,N,N,N,,AENT,N
AENTW,Alliance Entertainment Holding Corporation - Warrants,Q,S,N,N,N,,AENTW,N
AEO,"American Eagle Outfitters, Inc. Common Stock",N, ,N,N,,AEO,AEO,N
AEON,"AEON Biopharma, Inc. Class A Common Stock",A, ,N,N,,AEON,AEON,N
AEP,"American Electric Power Company, Inc. - Common Stock",Q,Q,N,N,N,,AEP,N
AER,AerCap Holdings N.V. Ordinary Shares,N, ,N,N,,AER,AER,N
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N, ,N,N,,AERO,AERO,N
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",Q,S,N,N,D,,AERT,N
AERTW,"Aeries Technology, Inc. - Warrant",Q,S,N,N,N,,AERTW,N
AES,The AES Corporation Common Stock,N, ,N,N,,AES,AES,N
AESI,Atlas Energy Solutions Inc. Common Stock,N, ,N,N,,AESI,AESI,N
AESPU,Aeon Acquisition I Corp. - Units,Q,G,N,N,N,,AESPU,N
AEVA,"Aeva Technologies, Inc. - Common Stock",Q,Q,N,N,N,,AEVA,N
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N, ,N,N,,AEXA,AEXA,N
AEYE,"AudioEye, Inc. - Common Stock",Q,S,N,N,N,,AEYE,N
AFB,AllianceBernstein National Municipal Income Fund Inc,N, ,N,N,,AFB,AFB,N
AFBI,"Affinity Bancshares, Inc. - Common Stock",Q,S,N,N,N,,AFBI,N
AFCG,Advanced Flower Capital Inc. - Common Stock,Q,G,N,N,N,,AFCG,N
AFG,"American Financial Group, Inc. Common Stock",N, ,N,N,,AFG,AFG,N
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N, ,N,N,,AFGB,AFGB,N
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N, ,N,N,,AFGC,AFGC,N
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N, ,N,N,,AFGD,AFGD,N
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N, ,N,N,,AFGE,AFGE,N
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",Q,G,N,N,E,,AFJK,N
AFJKR,"Aimei Health Technology Co., Ltd - Right",Q,G,N,N,E,,AFJKR,N
AFJKU,"Aimei Health Technology Co., Ltd - Unit",Q,G,N,N,E,,AFJKU,N
AFL,AFLAC Incorporated Common Stock,N, ,N,N,,AFL,AFL,N
AFRI,Forafric Global PLC - Ordinary Shares,Q,S,N,N,N,,AFRI,N
AFRIW,Forafric Global PLC - Warrants,Q,S,N,N,N,,AFRIW,N
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,Q,N,N,N,,AFRM,N
AFYA,Afya Limited - Class A Common Shares,Q,Q,N,N,N,,AFYA,N
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N, ,N,N,,AG,AG,N
AGBK,AGI Inc Class A Common Shares,N, ,N,N,,AGBK,AGBK,N
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,Q,S,N,N,N,,AGCC,N
AGCO,AGCO Corporation Common Stock,N, ,N,N,,AGCO,AGCO,N
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N, ,N,N,,AGD,AGD,N
AGEN,Agenus Inc. - Common Stock,Q,S,N,N,N,,AGEN,N
AGI,Alamos Gold Inc. Class A Common Shares,N, ,N,N,,AGI,AGI,N
AGIG,Abundia Global Impact Group Inc. Common stock,A, ,N,N,,AGIG,AGIG,N
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,Q,N,N,N,,AGIO,N
AGL,"agilon health, inc. Common Stock",N, ,N,N,,AGL,AGL,N
AGM,Federal Agricultural Mortgage Corporation Common Stock,N, ,N,N,,AGM,AGM,N
AGM-A,Federal Agricultural Mortgage Corporation Common Stock,N, ,N,N,,AGM.A,AGM.A,N
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,Q,Q,N,N,N,,AGMB,N
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Q,S,N,N,E,,AGMH,N
AGNC,AGNC Investment Corp. - Common Stock,Q,Q,N,N,N,,AGNC,N
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,AGNCL,N
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,Q,N,N,N,,AGNCM,N
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,AGNCN,N
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,AGNCO,N
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,AGNCP,N
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",Q,Q,N,N,N,,AGNCZ,N
AGNT,"eXp World Holdings, Inc. - Common Stock",Q,G,N,N,N,,AGNT,N
AGO,Assured Guaranty Ltd. Common Stock,N, ,N,N,,AGO,AGO,N
AGPU,Axe Compute Inc. - Common Stock,Q,S,N,N,N,,AGPU,N
AGRO,Adecoagro S.A. Common Shares,N, ,N,N,,AGRO,AGRO,N
AGRZ,Agroz Inc. - Ordinary Shares,Q,S,N,N,H,,AGRZ,N
AGX,"Argan, Inc. Common Stock",N, ,N,N,,AGX,AGX,N
AGYS,"Agilysys, Inc. - Common Stock",Q,Q,N,N,N,,AGYS,N
AHCO,AdaptHealth Corp.  - Common Stock,Q,S,N,N,N,,AHCO,N
AHG,Akso Health Group - American Depositary Shares,Q,S,N,N,N,,AHG,N
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,Q,S,N,N,N,,AHMA,N
AHR,"American Healthcare REIT, Inc. Common Stock",N, ,N,N,,AHR,AHR,N
AHRT,"AH Realty Trust, Inc. Common Stock",N, ,N,N,,AHRT,AHRT,N
AHT,Ashford Hospitality Trust Inc Common Stock,N, ,N,N,,AHT,AHT,N
AI,"C3.ai, Inc. Class A Common Stock",N, ,N,N,,AI,AI,N
AIAI,AIAI Holdings Corporation - Class A common stock,Q,G,N,N,N,,AIAI,N
AIB,"BlockchAIn Digital Infrastructure, Inc Common Shares",A, ,N,N,,AIB,AIB,N
AIDX,"20/20 Biolabs, Inc. - Common Stock",Q,S,N,N,N,,AIDX,N
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",Q,S,N,N,H,,AIFA,N
AIFC,AI Financial Corporation - Common Stock,Q,S,N,N,N,,AIFC,N
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",Q,S,N,N,N,,AIFF,N
AIFU,AIFU Inc. - Class A Ordinary Share,Q,Q,N,N,N,,AIFU,N
AIG,"American International Group, Inc. New Common Stock",N, ,N,N,,AIG,AIG,N
AIHS,Senmiao Technology Limited - Common Stock,Q,S,N,N,N,,AIHS,N
AII,"American Integrity Insurance Group, Inc. Common Stock",N, ,N,N,,AII,AII,N
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,N, ,N,N,,AIIA,AIIA,N
AIIA-R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",N, ,N,N,,AIIAr,AIIA^,N
AIIA-U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",N, ,N,N,,AIIA.U,AIIA=,N
AIIO,Robo.ai Inc. - Class B Ordinary Shares,Q,S,N,N,N,,AIIO,N
AIIOW,Robo.ai Inc. - Warrant,Q,S,N,N,N,,AIIOW,N
AIIR,Air Global PLC - Ordinary shares,Q,S,N,N,N,,AIIR,N
AIM,AIM ImmunoTech Inc. Common Stock,A, ,N,N,,AIM,AIM,N
AIMD,"Ainos, Inc. - Common Stock",Q,S,N,N,N,,AIMD,N
AIMDW,"Ainos, Inc. - warrants",Q,S,N,N,N,,AIMDW,N
AIN,Albany International Corporation Common Stock,N, ,N,N,,AIN,AIN,N
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,N, ,N,N,,AIO,AIO,N
AIOS,AIOS Tech Inc. - Class A Common Shares,Q,S,N,N,N,,AIOS,N
AIOT,"PowerFleet, Inc. - Common Stock",Q,G,N,N,N,,AIOT,N
AIP,"Arteris, Inc.  - Common Stock",Q,G,N,N,N,,AIP,N
AIR,AAR Corp. Common Stock,N, ,N,N,,AIR,AIR,N
AIRE,reAlpha Tech Corp. - Common Stock,Q,S,N,N,N,,AIRE,N
AIRG,"Airgain, Inc. - Common Stock",Q,S,N,N,N,,AIRG,N
AIRI,Air Industries Group Common Stock,A, ,N,N,,AIRI,AIRI,N
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,Q,S,N,N,N,,AIRJ,N
AIRJW,AirJoule Technologies Corporation - Warrant,Q,S,N,N,N,,AIRJW,N
AIRO,"AIRO Group Holdings, Inc. - Common Stock",Q,G,N,N,N,,AIRO,N
AIRS,"AirSculpt Technologies, Inc. - Common Stock",Q,G,N,N,N,,AIRS,N
AIRT,"Air T, Inc. - Common Stock",Q,S,N,N,N,,AIRT,N
AIRTP,"Air T, Inc. - Trust Preferred Securities",Q,G,N,N,N,,AIRTP,N
AISP,"Airship AI Holdings, Inc - Class A Common Stock",Q,G,N,N,N,,AISP,N
AISPW,"Airship AI Holdings, Inc - Warrants",Q,S,N,N,N,,AISPW,N
AIT,"Applied Industrial Technologies, Inc. Common Stock",N, ,N,N,,AIT,AIT,N
AIV,Apartment Investment and Management Company Common Stock,N, ,N,N,,AIV,AIV,N
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",Q,S,N,N,N,,AIXC,N
AIXI,XIAO-I Corporation - American Depositary Shares,Q,G,N,N,N,,AIXI,N
AIZ,"Assurant, Inc. Common Stock",N, ,N,N,,AIZ,AIZ,N
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",N, ,N,N,,AIZN,AIZN,N
AJG,Arthur J. Gallagher & Co. Common Stock,N, ,N,N,,AJG,AJG,N
AKA,a.k.a. Brands Holding Corp. Common Stock,N, ,N,N,,AKA,AKA,N
AKAM,"Akamai Technologies, Inc. - Common Stock",Q,Q,N,N,N,,AKAM,N
AKAN,Akanda Corp. - Common Shares,Q,S,N,N,E,,AKAN,N
AKBA,"Akebia Therapeutics, Inc. - Common Stock",Q,S,N,N,N,,AKBA,N
AKO-A,Embotelladora Andina S.A. Common Stock,N, ,N,N,,AKO.A,AKO.A,N
AKO-B,Embotelladora Andina S.A. Common Stock,N, ,N,N,,AKO.B,AKO.B,N
AKR,Acadia Realty Trust Common Stock,N, ,N,N,,AKR,AKR,N
AKTS,"Aktis Oncology, Inc. - Common stock",Q,Q,N,N,N,,AKTS,N
AKTX,Akari Therapeutics Plc - American Depositary Shares,Q,S,N,N,N,,AKTX,N
ALAB,"Astera Labs, Inc. - Common Stock",Q,Q,N,N,N,,ALAB,N
ALAR,Alarum Technologies Ltd. - American Depositary Shares,Q,S,N,N,N,,ALAR,N
ALB,Albemarle Corporation Common Stock,N, ,N,N,,ALB,ALB,N
ALBT,Avalon GloboCare Corp. - Common Stock,Q,S,N,N,D,,ALBT,N
ALC,Alcon Inc. Ordinary Shares,N, ,N,N,,ALC,ALC,N
ALCO,"Alico, Inc. - Common Stock",Q,Q,N,N,N,,ALCO,N
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,Q,G,N,N,N,,ALDF,N
ALDFU,Aldel Financial II Inc. - Units,Q,G,N,N,N,,ALDFU,N
ALDFW,Aldel Financial II Inc. - Warrants,Q,G,N,N,N,,ALDFW,N
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Q,S,N,N,N,,ALDX,N
ALEC,"Alector, Inc. - Common Stock",Q,Q,N,N,N,,ALEC,N
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,Q,G,N,N,N,,ALF,N
ALFUU,Centurion Acquisition Corp. - Unit,Q,G,N,N,N,,ALFUU,N
ALFUW,Centurion Acquisition Corp. - Warrant,Q,G,N,N,N,,ALFUW,N
ALG,"Alamo Group, Inc. Common Stock",N, ,N,N,,ALG,ALG,N
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,Q,N,N,N,,ALGM,N
ALGN,"Align Technology, Inc. - Common Stock",Q,Q,N,N,N,,ALGN,N
ALGS,"Aligos Therapeutics, Inc. - Common stock",Q,S,N,N,N,,ALGS,N
ALGT,Allegiant Travel Company - Common Stock,Q,Q,N,N,N,,ALGT,N
ALH,Alliance Laundry Holdings Inc. Common Stock,N, ,N,N,,ALH,ALH,N
ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,Q,N,N,N,,ALHC,N
ALIS,Calisa Acquisition Corp - Ordinary shares,Q,G,N,N,D,,ALIS,N
ALISR,Calisa Acquisition Corp - Right,Q,G,N,N,N,,ALISR,N
ALISU,Calisa Acquisition Corp - Units,Q,G,N,N,N,,ALISU,N
